目次へ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128
大和町四丁目,55,218,-,-,-,-,-,-,6,17,3,2,1,1,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,4,41,-,-,-,1,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,14,30,1,13,-,4,9,-,4,-,-,6,20,-,4,2,5,10,3,1,1,6,15,-,6,5,66,2,-,3,-,-,-,-,3,7,-,1,-,-,-,-,2,-
若宮総数,306,1200,-,-,-,-,-,-,25,101,10,8,7,12,78,1,-,1,-,-,2,2,-,-,1,-,-,-,-,-,-,-,-,1,-,1,-,-,3,-,-,-,-,-,-,2,2,-,-,2,-,-,1,1,-,1,-,-,-,-,-,-,67,312,-,1,-,-,2,3,-,8,31,2,17,3,1,14,-,1,-,-,-,-,33,78,6,26,1,23,38,-,16,-,7,36,123,1,31,4,39,110,32,3,4,13,44,1,12,39,266,24,-,15,1,5,1,-,14,28,-,1,3,-,5,-,5,-
若宮一丁目,75,275,-,-,-,-,-,-,6,31,1,3,2,3,9,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,15,76,-,1,-,-,-,2,-,2,4,-,4,2,-,-,-,-,-,-,-,-,9,17,-,9,-,7,11,-,7,-,-,8,29,1,5,2,8,20,6,2,-,4,7,-,4,9,63,5,-,4,-,-,-,-,4,10,-,-,1,-,2,-,1,-
若宮二丁目,66,269,-,-,-,-,-,-,8,22,3,3,2,5,59,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,14,88,-,-,-,-,2,-,-,-,7,1,3,1,-,-,-,-,-,-,-,-,7,14,-,7,-,8,12,-,6,-,2,3,12,-,3,-,9,19,7,1,1,2,2,-,2,5,34,3,-,2,-,-,-,-,4,6,-,-,-,-,3,-,1,-
若宮三丁目,165,656,-,-,-,-,-,-,11,48,6,2,3,4,10,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38,148,-,-,-,-,-,1,-,6,20,1,10,-,1,14,-,1,-,-,-,-,17,47,6,10,1,8,15,-,3,-,5,25,82,-,23,2,22,71,19,-,3,7,35,1,6,25,169,16,-,9,1,5,1,-,6,12,-,1,2,-,-,-,3,-
白鷺総数,161,1003,-,-,-,-,-,-,17,104,7,9,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,3,-,-,1,-,1,1,1,-,-,1,-,-,-,-,-,27,191,-,1,-,1,2,1,-,4,9,2,6,1,3,39,1,-,-,2,-,-,23,64,3,19,1,9,28,1,3,-,5,16,60,-,11,5,26,55,22,4,-,5,66,-,5,22,281,11,-,10,1,7,1,-,9,104,2,-,-,-,4,-,3,-
白鷺一丁目,55,415,-,-,-,-,-,-,7,60,4,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,8,51,-,-,-,1,-,-,-,3,4,-,-,-,-,-,-,-,-,-,-,-,6,20,-,6,-,4,8,-,1,-,3,1,5,-,-,1,8,15,7,1,-,3,17,-,3,11,156,4,-,7,-,-,-,-,6,81,-,-,-,-,4,-,2,-
白鷺二丁目,71,360,-,-,-,-,-,-,6,37,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,50,-,1,-,-,1,1,-,-,3,1,3,1,3,39,1,-,-,2,-,-,14,31,3,10,1,3,16,1,1,-,1,9,32,-,6,3,11,27,8,3,-,1,1,-,1,9,97,6,-,2,1,7,1,-,3,23,2,-,-,-,-,-,1,-
白鷺三丁目,35,228,-,-,-,-,-,-,4,7,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,1,1,-,-,1,-,-,-,-,-,8,90,-,-,-,-,1,-,-,1,2,1,3,-,-,-,-,-,-,-,-,-,3,13,-,3,-,2,4,-,1,-,1,6,23,-,5,1,7,13,7,-,-,1,48,-,1,2,28,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
鷺宮総数,548,3028,-,-,-,-,-,-,51,242,16,20,15,16,88,-,-,2,-,-,1,2,1,-,-,-,-,-,-,-,1,-,1,2,2,1,-,-,3,-,-,-,-,-,-,12,47,1,-,3,1,7,8,70,2,3,3,-,-,-,-,-,121,903,-,4,3,1,5,8,-,8,31,15,42,4,7,24,-,1,-,2,-,4,70,256,18,49,3,26,64,-,17,-,9,85,459,3,78,4,52,255,39,7,6,25,133,1,24,59,414,45,1,13,3,19,3,-,13,54,1,-,3,1,5,-,3,-
鷺宮一丁目,108,608,-,-,-,-,-,-,18,78,4,7,7,2,21,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,1,5,1,-,-,-,-,-,-,-,23,288,-,-,-,-,1,2,-,1,9,2,8,-,-,-,-,-,-,-,-,-,15,42,1,14,-,8,17,-,4,-,4,14,67,2,12,-,7,21,5,1,1,3,7,-,3,12,43,10,-,2,-,-,-,-,4,18,-,-,2,1,1,-,-,-
鷺宮二丁目,41,298,-,-,-,-,-,-,3,15,1,2,-,6,23,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,95,-,-,-,-,2,-,-,-,2,2,3,1,-,-,-,-,-,-,-,-,5,29,1,2,2,4,12,-,4,-,-,2,8,1,1,-,4,76,2,1,1,1,1,-,1,3,15,3,-,-,1,5,1,-,2,19,-,-,-,-,1,-,1,-
鷺宮三丁目,225,1301,-,-,-,-,-,-,10,61,6,2,2,1,2,-,-,-,-,-,-,1,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,24,1,-,-,-,3,5,60,1,2,2,-,-,-,-,-,56,374,-,1,1,1,1,3,-,3,13,7,24,2,3,7,-,-,-,1,-,2,24,108,8,15,1,5,13,-,4,-,1,45,250,-,43,2,29,96,23,4,2,12,68,1,11,27,231,22,-,5,-,-,-,-,4,7,-,-,1,-,2,-,1,-
鷺宮四丁目,89,393,-,-,-,-,-,-,3,6,1,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,7,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,14,33,-,1,-,-,-,-,-,3,4,3,3,-,3,14,-,1,-,1,-,1,13,48,7,6,-,1,1,-,1,-,-,22,95,-,20,2,10,58,8,-,2,4,33,-,4,13,82,9,-,4,1,8,1,-,2,7,1,-,-,-,-,-,1,-
鷺宮五丁目,43,189,-,-,-,-,-,-,10,34,4,5,1,3,7,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,3,-,-,-,-,1,1,1,-,1,-,-,-,-,-,-,10,61,-,1,-,-,-,2,-,1,2,-,3,1,-,-,-,-,-,-,-,-,7,15,-,7,-,5,15,-,2,-,3,1,15,-,1,-,-,-,-,-,-,1,7,-,1,2,22,1,1,-,1,6,1,-,1,3,-,-,-,-,1,-,-,-
鷺宮六丁目,42,239,-,-,-,-,-,-,7,48,-,4,3,3,34,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,4,12,-,-,1,1,2,1,4,-,-,1,-,-,-,-,-,8,52,-,1,2,-,1,1,-,-,1,1,1,-,1,3,-,-,-,-,-,1,6,14,1,5,-,3,6,-,2,-,1,1,24,-,1,-,2,4,1,1,-,4,17,-,4,2,21,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
上鷺宮総数,262,1796,-,-,-,-,-,-,38,385,10,16,12,5,41,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,11,54,-,-,4,-,7,5,75,-,2,3,-,-,-,-,-,48,267,-,-,3,2,3,3,-,3,10,4,20,-,2,12,-,1,-,1,-,-,33,94,3,29,1,17,45,1,13,1,2,27,161,-,22,5,26,51,22,2,2,11,66,-,11,35,517,23,-,12,1,9,1,-,3,19,-,-,-,-,1,-,2,-
上鷺宮一丁目,32,197,-,-,-,-,-,-,4,32,-,2,2,1,3,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,1,-,-,1,31,-,-,1,-,-,-,-,-,7,28,-,-,-,-,-,1,-,-,2,1,3,-,1,10,-,1,-,-,-,-,5,12,1,4,-,1,1,-,1,-,-,3,16,-,1,2,3,5,3,-,-,2,7,-,2,3,50,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
上鷺宮二丁目,41,251,-,-,-,-,-,-,5,41,1,2,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,5,10,-,-,3,-,2,2,27,-,1,1,-,-,-,-,-,7,93,-,-,-,-,1,-,-,-,3,-,3,-,1,2,-,-,-,1,-,-,12,31,-,12,-,4,6,-,3,1,-,-,-,-,-,-,1,2,1,-,-,1,4,-,1,2,33,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
上鷺宮三丁目,59,606,-,-,-,-,-,-,9,131,2,4,3,2,33,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,8,62,-,-,2,-,-,1,-,-,1,-,4,-,-,-,-,-,-,-,-,-,6,22,1,4,1,2,4,-,2,-,-,7,59,-,6,1,6,14,5,-,1,4,36,-,4,11,224,7,-,4,-,-,-,-,3,19,-,-,-,-,1,-,2,-
上鷺宮四丁目,83,416,-,-,-,-,-,-,8,81,4,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,1,1,1,-,1,-,-,-,-,-,-,22,70,-,-,-,1,1,1,-,3,4,2,10,-,-,-,-,-,-,-,-,-,4,15,1,3,-,4,20,1,2,-,1,13,64,-,13,-,12,22,11,1,-,3,18,-,3,14,113,12,-,2,1,9,1,-,-,-,-,-,-,-,-,-,-,-
上鷺宮五丁目,47,326,-,-,-,-,-,-,12,100,3,5,4,1,3,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,37,-,-,-,-,3,1,16,-,-,1,-,-,-,-,-,4,14,-,-,1,1,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,6,14,-,6,-,6,14,-,5,-,1,4,22,-,2,2,4,8,2,1,1,1,1,-,1,5,97,3,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注）　産業分類の項目名は，適宜簡略化した。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　各産業の中で格付不能な項目は省略しているため、総数と内訳が一致しない場合がある。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料　東京都総務局統計部産業統計課「平成28年経済センサス‐活動調査報告（産業横断的集計）」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
